landmarkName,landmarkNum,X,Y
Midpoint,1,350,350
Goal_A,2,351.2,368.4
Goal_C,3,371.9,356.9
Goal_I,4,321.7,358.1
LM_B_Forest-House,5,402,418.2
LM_D_Mountain,6,440.7,324.5
LM_F_Forest,7,350,270
LM_H_Mountain-House,8,264.2,325
LM_J_Tower,9,304.3,424.3
